# chi2_tot  chi2_prior  chi2_data
   732.355     6.42363    725.931
   761.514     5.41126    756.102
   806.547     4.49347    802.054
   743.393     10.2262    733.167
   744.173     5.95528    738.218
   871.757     6.06688    865.691
   822.293     8.08075    814.213
   714.289     8.71944     705.57
   782.937     6.23945    776.697
   735.367     7.25173    728.115
   683.457      5.9556    677.501
   859.585     7.34313    852.242
   785.502     7.69528    777.807
   779.886     4.72676     775.16
   761.809     7.38836     754.42
   837.572     6.21831    831.354
   813.156     8.30526     804.85
   791.039     7.22602    783.813
   805.819      7.2654    798.554
   775.083     6.06219    769.021
   772.477     7.35479    765.122
   769.556     6.55187    763.004
   806.671     6.09864    800.573
   850.932     7.29183     843.64
   876.313     6.35713    869.955
   816.171     8.24428    807.927
   807.332     7.73592    799.597
   800.319     6.80858     793.51
   765.778      8.0163    757.762
   775.441     7.44522    767.996
   848.307     7.65069    840.656
   807.249     5.68688    801.562
   787.611     4.49604    783.115
   782.181     7.30633    774.875
   836.955     7.90409    829.051
   759.822     7.06827    752.754
   823.709     8.30101    815.408
   740.371     7.23265    733.138
   810.362     8.59316    801.769
   863.364     8.28363    855.081
   771.734     7.51924    764.215
   781.622     5.84178    775.781
