# chi2_tot  chi2_prior  chi2_data
   3529.51    0.381408    3529.13
   3565.99    0.577595    3565.42
   3539.88    0.720935    3539.16
    3473.1     2.13444    3470.96
   3635.03    0.951659    3634.08
   3675.45    0.450074       3675
   3594.32     0.86487    3593.46
   3481.71    0.357119    3481.35
    3669.3    0.333707    3668.97
   3782.75     1.89587    3780.85
   3717.02    0.607187    3716.41
   3544.78     1.40206    3543.38
   3656.65    0.738321    3655.91
    3490.9    0.527004    3490.37
   3495.61    0.609276       3495
    3448.5    0.332141    3448.17
   3491.37    0.750528    3490.62
   3523.53    0.952263    3522.58
   3439.38    0.654009    3438.73
   3541.16    0.969296    3540.19
   3612.38    0.689177    3611.69
   3504.24     1.19479    3503.04
   3682.94     0.80245    3682.14
   3631.39     2.16713    3629.23
   3567.87     0.53254    3567.34
   3681.03    0.349132    3680.68
    3612.9    0.505091    3612.39
   3437.95     1.71952    3436.23
   3607.03    0.728034    3606.31
   3534.29     1.05043    3533.24
   3588.25    0.848649     3587.4
   3698.99    0.676943    3698.31
   3498.43      2.5452    3495.88
   3417.79    0.426346    3417.36
   3423.49    0.475054    3423.01
   3440.93    0.849631    3440.08
   3549.35    0.821905    3548.53
   3537.35    0.809324    3536.54
   3565.08    0.712728    3564.37
   3571.66    0.535627    3571.13
   3442.95    0.680677    3442.27
   3519.94     1.63112     3518.3
    3538.9     2.25764    3536.64
   3590.91      0.4838    3590.42
   3595.97    0.589447    3595.38
   3482.76    0.500548    3482.26
   3596.95     1.02584    3595.92
   3559.04    0.760378    3558.28
   3644.78    0.509483    3644.27
   3594.71    0.286807    3594.42
   3501.88     0.20488    3501.67
   3538.55     1.05714    3537.49
   3590.48    0.834371    3589.64
   3466.07     1.01736    3465.05
   3470.52      0.9777    3469.54
   3447.72     1.02769    3446.69
   3579.41     1.49927    3577.91
      3453      1.6375    3451.36
   3543.31     0.16187    3543.15
   3698.64     1.80099    3696.84
   3484.35    0.641181     3483.7
   3575.27     1.92594    3573.34
   3409.65    0.402671    3409.24
   3621.79     1.35677    3620.43
   3407.63    0.970983    3406.65
   3514.45     0.32384    3514.12
   3615.86     1.48737    3614.37
   3571.92     1.72125     3570.2
   3437.92    0.481869    3437.44
   3555.28    0.944905    3554.34
    3443.3    0.227833    3443.07
   3399.75     2.19696    3397.55
   3415.19    0.544254    3414.65
   3507.09     1.69512     3505.4
   3750.63    0.514175    3750.11
   3530.45     1.18882    3529.26
   3493.68    0.276709    3493.41
   3620.37    0.974785    3619.39
   3675.43     1.24499    3674.18
   3449.81     0.55238    3449.26
   3498.37    0.662897    3497.71
   3534.69     1.20341    3533.49
   3539.28    0.681453     3538.6
   3516.34     1.37809    3514.97
   3563.38    0.786709    3562.59
   3653.35    0.623958    3652.72
   3580.88    0.850602    3580.03
   3535.76     1.69422    3534.06
   3646.18     1.16637    3645.01
   3402.87    0.418183    3402.45
   3485.77      0.4491    3485.32
   3464.38    0.236108    3464.14
   3524.76    0.920677    3523.84
   3451.58    0.699669    3450.88
   3650.75    0.385237    3650.36
   3526.61    0.916358     3525.7
   3458.31    0.453186    3457.86
   3629.46    0.710785    3628.75
   3467.66     1.04478    3466.61
    3388.9    0.228683    3388.67
   3723.38    0.887376    3722.49
   3515.81    0.920063    3514.89
   3477.05      1.4667    3475.59
   3641.84    0.744564    3641.09
   3600.62    0.279742    3600.34
   3629.22    0.804857    3628.42
   3523.24     1.85245    3521.39
   3414.49    0.422459    3414.07
   3424.22      1.0272    3423.19
    3529.4    0.863288    3528.54
   3488.91     1.08384    3487.82
   3593.38    0.938849    3592.44
   3556.68      1.8737    3554.81
   3371.69    0.473463    3371.21
    3507.3    0.557979    3506.74
   3545.16     0.90193    3544.26
   3441.85    0.157917    3441.69
    3501.3    0.776186    3500.52
   3594.39    0.224304    3594.16
   3623.79     1.33142    3622.46
   3465.92    0.622899     3465.3
   3340.11    0.485303    3339.63
   3466.48     0.39997    3466.08
   3558.96    0.359987     3558.6
   3627.66    0.863676     3626.8
   3621.94     1.68536    3620.25
    3443.1    0.395743     3442.7
   3514.92    0.495366    3514.43
   3441.86    0.156337    3441.71
   3555.94    0.368226    3555.58
    3627.6    0.877579    3626.72
   3404.83     1.68136    3403.15
    3569.5     1.12948    3568.37
   3499.98     1.29314    3498.69
   3594.11     1.29775    3592.81
   3599.23    0.688233    3598.55
   3431.81    0.746466    3431.07
   3318.69    0.534252    3318.16
   3605.76     1.48724    3604.27
    3575.2    0.416387    3574.78
   3554.59    0.461749    3554.12
   3482.33    0.664628    3481.67
   3625.72    0.302649    3625.41
   3508.28    0.352042    3507.92
   3501.44    0.581804    3500.86
   3644.06     1.38955    3642.67
   3543.53    0.440596    3543.08
   3617.79     1.43852    3616.35
   3462.45    0.472058    3461.97
   3467.24     0.15911    3467.08
   3590.81    0.333239    3590.47
   3601.93    0.424198    3601.51
   3485.37    0.620934    3484.75
   3473.09    0.904625    3472.19
   3676.13     1.41348    3674.72
   3518.73     1.17788    3517.56
   3439.63     1.27305    3438.35
   3524.53    0.320498    3524.21
   3736.93    0.660291    3736.27
   3463.05     1.48295    3461.57
   3610.75    0.866267    3609.88
   3476.72     1.04388    3475.68
   3470.86    0.991764    3469.86
   3357.67    0.326645    3357.34
    3533.9     1.37573    3532.52
   3474.51    0.588729    3473.92
    3532.3    0.238294    3532.06
   3576.97     1.22835    3575.74
    3488.1    0.615723    3487.49
   3330.35    0.558401     3329.8
   3588.97    0.198981    3588.77
   3556.78    0.803896    3555.97
   3515.37    0.630305    3514.74
   3463.76     1.42144    3462.34
   3494.71     1.28414    3493.42
   3499.56     1.36013     3498.2
   3575.36    0.851306    3574.51
   3583.71     2.76403    3580.95
   3512.85    0.685478    3512.17
    3409.3     1.08526    3408.21
   3434.88    0.650413    3434.23
   3532.46    0.343169    3532.12
   3630.52      1.5134       3629
   3499.94    0.926888    3499.02
   3483.57    0.868681     3482.7
   3509.61     0.36079    3509.24
   3600.63     0.22232    3600.41
   3525.74    0.420503    3525.32
   3595.36    0.772244    3594.59
   3473.09     0.82046    3472.27
   3542.18    0.939616    3541.24
   3611.23    0.641807    3610.59
