# chi2_tot  chi2_prior  chi2_data
   796.713    0.252943     796.46
     729.8    0.496322    729.304
   746.844    0.515082    746.329
   741.457    0.155885    741.301
   800.859     1.16816    799.691
   770.422    0.104181    770.318
   799.545    0.389093    799.156
   739.643    0.355691    739.288
   738.311     0.45663    737.854
   755.458    0.267703    755.191
   775.243     0.14699    775.096
   839.501    0.848537    838.653
   765.681    0.776352    764.905
    803.08     1.03233    802.047
   752.626    0.464858    752.162
   816.509    0.440815    816.069
   740.668    0.443151    740.225
   810.706     0.24656    810.459
   754.204    0.221691    753.982
   802.582    0.432614    802.149
   852.392     1.21286    851.179
    755.81    0.229576    755.581
   761.584    0.156666    761.427
   800.056    0.500835    799.555
   798.581    0.382641    798.198
   770.381    0.724507    769.656
   794.845    0.946967    793.898
   802.714    0.633958     802.08
   849.557    0.440573    849.116
   784.038    0.875112    783.163
   747.871    0.443627    747.427
   765.554    0.260972    765.293
   765.209     0.24686    764.962
   866.744    0.109619    866.635
   685.642    0.475713    685.166
    834.92    0.277085    834.643
   724.596     0.23425    724.362
   725.802    0.492684    725.309
   749.057    0.490042    748.567
   799.938    0.630018    799.308
    772.31    0.521386    771.789
   698.015    0.982082    697.033
   809.739    0.909486     808.83
   828.579    0.127768    828.451
   760.877    0.652758    760.225
   749.533    0.741801    748.791
   789.369    0.921076    788.448
   769.677    0.485054    769.192
   787.386    0.127323    787.259
   771.602    0.502644    771.099
   818.918    0.335555    818.582
   792.674       0.319    792.355
   695.278     0.38858     694.89
   819.706    0.835017    818.871
   812.941    0.340286    812.601
    764.75    0.475612    764.274
   746.783    0.165079    746.618
   773.817    0.392081    773.425
   704.427     0.39077    704.037
   846.687    0.281562    846.405
   771.307     1.21743    770.089
   824.072    0.173546    823.898
   736.233    0.249117    735.983
   784.881     1.37717    783.504
   739.594    0.675828    738.918
     843.5     1.17717    842.323
   738.282    0.339077    737.943
   742.281    0.332305    741.949
   783.331    0.486224    782.845
   794.073     1.35906    792.714
   813.443    0.648131    812.795
   747.751    0.238986    747.512
   820.127    0.366689    819.761
    754.71    0.775347    753.935
   757.257    0.582093    756.674
   788.419    0.366098    788.052
   780.682    0.628888    780.053
    783.05    0.414271    782.636
   837.534     0.28881    837.245
    792.05    0.613368    791.436
   734.205    0.659291    733.546
   813.006    0.334192    812.671
   720.996    0.383668    720.612
   672.089    0.626321    671.463
    770.55    0.278238    770.272
   803.852     1.04052    802.811
   823.407    0.109974    823.297
   756.417    0.208703    756.208
   782.281     0.69564    781.586
   794.752    0.169027    794.583
    821.14     1.11566    820.024
   757.586    0.198338    757.388
    820.46    0.822765    819.637
   755.606     1.51871    754.087
   764.059    0.191839    763.867
   768.197    0.155614    768.041
   824.753    0.293805    824.459
   763.097     1.21515    761.882
   778.297    0.599832    777.697
   801.273      0.5078    800.765
   753.573    0.519975    753.053
   818.359    0.791416    817.568
     839.7     1.14194    838.558
   777.965    0.390591    777.574
   788.567    0.622692    787.945
   781.778    0.733197    781.045
   756.361    0.333113    756.028
   837.876    0.821443    837.054
   851.978    0.373365    851.605
   755.096    0.474056    754.622
   813.646    0.812628    812.833
   783.585     0.23508     783.35
   772.351    0.873272    771.477
   770.832     0.97155     769.86
   768.657     0.73473    767.922
   749.508     0.68174    748.826
   714.304    0.606974    713.697
   766.995    0.392644    766.602
   843.133     1.43357      841.7
    811.56    0.472276    811.088
   746.688    0.208382     746.48
   784.363    0.971773    783.391
   752.749    0.515997    752.233
